# _tick,_time,step,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss
99,1610451664.8702114,158400,2501.4462890625,460.0,452.16339111328125,2074.2783203125,-24.995389938354492
100,1610451682.502356,160000,4226.17919921875,586.0,1301.9681396484375,2948.947998046875,-24.736942291259766
101,1610451700.268638,161600,5575.771484375,750.0,2562.964111328125,3037.659423828125,-24.85214614868164
102,1610451717.998833,163200,846.15966796875,450.0,-665.8644409179688,1536.8662109375,-24.842111587524414
103,1610451735.6057582,164800,2113.91796875,390.0,65.39474487304688,2073.13427734375,-24.61099624633789
104,1610451753.3279169,166400,2891.30078125,590.0,616.934326171875,2299.1298828125,-24.76339340209961
105,1610451771.167603,168000,3549.405029296875,565.0,1123.45751953125,2450.68603515625,-24.73861312866211
106,1610451788.9455981,169600,2861.176513671875,520.0,535.017333984375,2350.84326171875,-24.68411636352539
107,1610451806.6332433,171200,4031.7177734375,720.0,1294.35107421875,2761.80029296875,-24.43367576599121
108,1610451824.341155,172800,2416.74267578125,810.0,746.9005737304688,1694.14208984375,-24.299951553344727
109,1610451842.2669625,174400,2307.10986328125,775.0,291.0461730957031,2040.1129150390625,-24.049421310424805
110,1610451860.4198945,176000,3637.511962890625,706.6666870117188,901.444580078125,2760.68017578125,-24.61277198791504
111,1610451878.0599313,177600,3776.776123046875,625.0,1302.24072265625,2498.74755859375,-24.212133407592773
112,1610451895.6122115,179200,2444.55322265625,nan,574.8565063476562,1893.8472900390625,-24.150671005249023
113,1610451912.988881,180800,2493.239990234375,668.3333740234375,-492.1141357421875,3009.46240234375,-24.108243942260742
114,1610451930.3835037,182400,3116.37158203125,910.0,915.50439453125,2224.95703125,-24.089746475219727
